sent5,sent5_10,sent10,num_per,num_loc,num_org,VERB,ADJ,NOUN,ADV,racista,argumentativo,pressuposicao,possibilidade_necessidade,opiniao_valoracao,erros_ort,char_len,positivos,negativos,ÓDIO,AGRESSIVIDADE,AFEIÇÃO,GENTILEZA
2,3,6,0.028846153846153848,0.07211538461538461,0.0,0.10096153846153846,0.02403846153846154,0.14423076923076922,0.04326923076923077,0,0.09615384615384616,0.028846153846153848,0.0,0.03365384615384615,0.14423076923076922,853,0.019230769230769232,0.009615384615384616,0.0,0.004807692307692308,0.004807692307692308,0.0
3,0,8,0.03225806451612903,0.012096774193548387,0.004032258064516129,0.11290322580645161,0.04032258064516129,0.20161290322580644,0.036290322580645164,1,0.10887096774193548,0.016129032258064516,0.008064516129032258,0.016129032258064516,0.1532258064516129,1095,0.012096774193548387,0.024193548387096774,0.004032258064516129,0.0,0.0,0.0
4,4,3,0.04926108374384237,0.014778325123152709,0.029556650246305417,0.11330049261083744,0.019704433497536946,0.12807881773399016,0.059113300492610835,2,0.12315270935960591,0.0049261083743842365,0.0049261083743842365,0.019704433497536946,0.22660098522167488,762,0.0049261083743842365,0.03940886699507389,0.0,0.0,0.0,0.0
4,4,3,0.05181347150259067,0.010362694300518135,0.0,0.11398963730569948,0.04145077720207254,0.09326424870466321,0.031088082901554404,4,0.09326424870466321,0.010362694300518135,0.0051813471502590676,0.03626943005181347,0.19170984455958548,771,0.015544041450777202,0.015544041450777202,0.0051813471502590676,0.0,0.0,0.0
5,3,1,0.024193548387096774,0.0,0.024193548387096774,0.12096774193548387,0.008064516129032258,0.13709677419354838,0.04032258064516129,1,0.12903225806451613,0.024193548387096774,0.0,0.008064516129032258,0.18548387096774194,445,0.04032258064516129,0.024193548387096774,0.008064516129032258,0.0,0.0,0.0
2,1,0,0.058823529411764705,0.058823529411764705,0.0,0.17647058823529413,0.0,0.23529411764705882,0.0,0,0.11764705882352941,0.0,0.0,0.0,0.17647058823529413,73,0.0,0.0,0.0,0.0,0.0,0.0
5,2,4,0.01818181818181818,0.030303030303030304,0.012121212121212121,0.08484848484848485,0.04242424242424243,0.12121212121212122,0.030303030303030304,0,0.10909090909090909,0.012121212121212121,0.006060606060606061,0.030303030303030304,0.1696969696969697,623,0.03636363636363636,0.006060606060606061,0.0,0.0,0.0,0.0
4,4,5,0.013636363636363636,0.00909090909090909,0.0,0.1318181818181818,0.05,0.16363636363636364,0.031818181818181815,2,0.14545454545454545,0.004545454545454545,0.0,0.01818181818181818,0.11818181818181818,941,0.01818181818181818,0.04090909090909091,0.0,0.0,0.0,0.0
10,7,4,0.06910569105691057,0.008130081300813009,0.052845528455284556,0.08536585365853659,0.028455284552845527,0.15447154471544716,0.032520325203252036,0,0.13414634146341464,0.008130081300813009,0.0,0.0,0.12601626016260162,1110,0.04065040650406504,0.012195121951219513,0.0,0.0,0.0,0.0
10,11,8,0.038461538461538464,0.008547008547008548,0.021367521367521368,0.11965811965811966,0.06196581196581197,0.1581196581196581,0.03632478632478633,4,0.13675213675213677,0.004273504273504274,0.004273504273504274,0.019230769230769232,0.14957264957264957,1950,0.02564102564102564,0.008547008547008548,0.002136752136752137,0.002136752136752137,0.00641025641025641,0.002136752136752137
2,3,2,0.029411764705882353,0.0,0.0,0.17647058823529413,0.029411764705882353,0.23529411764705882,0.029411764705882353,0,0.14705882352941177,0.00980392156862745,0.0,0.0,0.0784313725490196,456,0.0,0.0392156862745098,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.0
6,6,4,0.053811659192825115,0.004484304932735426,0.008968609865470852,0.11659192825112108,0.053811659192825115,0.14798206278026907,0.04035874439461883,0,0.15695067264573992,0.026905829596412557,0.004484304932735426,0.004484304932735426,0.11659192825112108,954,0.008968609865470852,0.03139013452914798,0.0,0.0,0.013452914798206279,0.0
6,2,9,0.01928374655647383,0.049586776859504134,0.024793388429752067,0.09366391184573003,0.07162534435261708,0.1487603305785124,0.030303030303030304,2,0.0881542699724518,0.011019283746556474,0.005509641873278237,0.024793388429752067,0.17079889807162535,1591,0.027548209366391185,0.03856749311294766,0.0,0.005509641873278237,0.0,0.0
1,3,7,0.028662420382165606,0.03184713375796178,0.025477707006369428,0.08280254777070063,0.01910828025477707,0.18152866242038215,0.028662420382165606,2,0.09235668789808917,0.01592356687898089,0.0,0.009554140127388535,0.10828025477707007,1266,0.025477707006369428,0.025477707006369428,0.0,0.0031847133757961785,0.0,0.0031847133757961785
2,2,2,0.010526315789473684,0.0,0.0,0.09473684210526316,0.06315789473684211,0.23157894736842105,0.010526315789473684,0,0.18947368421052632,0.010526315789473684,0.0,0.0,0.14736842105263157,444,0.031578947368421054,0.0,0.0,0.0,0.0,0.0
1,5,0,0.022727272727272728,0.056818181818181816,0.0,0.06818181818181818,0.022727272727272728,0.17045454545454544,0.022727272727272728,2,0.125,0.0,0.011363636363636364,0.0,0.09090909090909091,374,0.011363636363636364,0.0,0.0,0.0,0.0,0.0
4,2,1,0.01834862385321101,0.027522935779816515,0.0,0.11009174311926606,0.045871559633027525,0.2018348623853211,0.027522935779816515,0,0.11926605504587157,0.009174311926605505,0.009174311926605505,0.027522935779816515,0.11926605504587157,466,0.05504587155963303,0.07339449541284404,0.0,0.009174311926605505,0.009174311926605505,0.0
7,8,4,0.023076923076923078,0.0038461538461538464,0.015384615384615385,0.11153846153846154,0.038461538461538464,0.18076923076923077,0.057692307692307696,0,0.14615384615384616,0.015384615384615385,0.0,0.023076923076923078,0.1076923076923077,1062,0.011538461538461539,0.03076923076923077,0.0,0.0038461538461538464,0.0,0.0
